image_name,Side_coinWidth,Side_coinHeigth,Top_coinWidth,Top_coinHeigth,Side_foodWidth,Side_foodHeigth,Top_foodWidth,Top_foodHeigth,food_label,Side_coinForeground_pixel,Top_coinForeground_pixel,Side_foodForeground_pixel,Top_foodForeground_pixel,realVolume,realDensity
egg002,73,71,76,74,120,123,167,123,ellipsoid,3634,3890,11945,16264,50,1.24
egg002,79,76,76,75,149,127,132,196,ellipsoid,4265,4065,14916,19241,50,1.24
egg001,65,60,65,65,129,102,107,155,ellipsoid,2753,2706,10054,12935,50,1.14
egg001,64,61,67,65,103,104,124,161,ellipsoid,2757,2891,8056,14658,50,1.14
egg003,66,63,65,65,137,102,109,143,ellipsoid,2918,3157,10317,12274,50,1.09
egg005,75,69,58,58,126,140,109,146,ellipsoid,3592,2262,13137,10515,50,1.19
egg005,74,71,58,59,151,139,135,107,ellipsoid,3646,2285,15359,11678,50,1.19
egg006,75,73,66,64,152,116,155,116,ellipsoid,3748,2941,13289,13670,50,1.14
egg006,73,71,69,66,152,130,121,167,ellipsoid,3724,3044,14355,16491,50,1.14
egg007,70,67,58,57,162,110,102,159,ellipsoid,3375,2192,14034,11870,60,1.1483333333333334
egg007,69,67,70,66,117,121,118,191,ellipsoid,3265,3071,11009,17422,60,1.1483333333333334
egg004,76,75,60,62,138,125,146,102,ellipsoid,3945,2456,13316,11351,50,1.1840000000000002
doughnut003,103,97,79,73,334,165,273,261,irregular,7235,4073,44762,55805,220,0.305
doughnut004,66,66,71,68,245,95,285,272,irregular,3326,3339,19835,56674,200,0.3125
doughnut004,66,65,70,69,238,95,262,284,irregular,3246,3346,15426,57800,200,0.3125
doughnut004,65,64,69,66,276,93,251,276,irregular,3214,3083,20594,51913,200,0.3125
doughnut005,66,65,67,64,257,93,265,239,irregular,3461,2826,20856,46758,220,0.2927272727272728
doughnut005,66,61,70,66,286,86,264,289,irregular,3223,3040,19821,57545,220,0.2927272727272728
doughnut005,67,63,65,65,271,91,263,282,irregular,3167,2900,19421,51412,220,0.2927272727272728
doughnut006,65,64,68,66,252,91,279,281,irregular,3219,3337,8507,55193,160,0.41375
doughnut006,66,65,67,65,267,86,280,273,irregular,3214,3088,17274,57205,160,0.41375
doughnut006,65,64,68,62,261,87,243,266,irregular,3243,90,16786,50976,160,0.41375
doughnut002,115,105,66,64,390,188,247,245,irregular,9268,2726,58458,42790,220,0.29818181818181816
doughnut002,123,112,70,70,415,178,274,276,irregular,10519,3455,53043,59905,220,0.29818181818181816
doughnut008,76,73,63,62,298,93,259,210,irregular,4007,2667,23268,42062,170,0.32176470588235295
doughnut008,79,75,59,59,253,98,231,211,irregular,4057,2301,21077,34136,170,0.32176470588235295
doughnut008,70,73,67,63,252,90,245,272,irregular,3680,2780,14530,49249,170,0.32176470588235295
doughnut009,73,72,69,67,255,90,269,293,irregular,3831,3138,18230,54767,180,0.28111111111111114
doughnut009,73,73,70,67,289,92,262,272,irregular,3925,2764,18017,60353,180,0.28111111111111114
doughnut009,74,74,63,62,267,80,244,249,irregular,3864,2544,17193,50005,180,0.28111111111111114
doughnut007,72,72,67,65,258,100,235,243,irregular,3721,2795,20922,46467,190,0.27578947368421053
doughnut007,69,71,68,67,266,93,252,272,irregular,3575,3131,20745,51224,190,0.27578947368421053
doughnut007,71,73,66,63,287,102,246,264,irregular,3557,2669,17786,50468,190,0.27578947368421053
doughnut001,123,122,66,67,428,192,253,253,irregular,11503,3445,63539,50631,170,0.28823529411764703
apple007,80,75,57,58,265,269,246,261,ellipsoid,4313,2393,53787,44982,420,0.7738095238095238
apple006,81,78,66,67,279,263,243,249,ellipsoid,4830,2981,58752,47145,290,0.8206896551724138
apple015,69,66,65,61,221,215,234,229,ellipsoid,3229,115,38452,40304,390,0.7525641025641026
apple015,67,64,66,64,234,210,300,288,ellipsoid,3400,392,37336,60072,390,0.7525641025641026
apple014,66,67,65,63,213,213,236,229,ellipsoid,40,2641,31800,38355,290,0.8137931034482758
apple014,81,79,60,60,290,250,226,213,ellipsoid,4657,2361,57581,34378,290,0.8137931034482758
apple019,52,54,38,40,239,242,137,132,ellipsoid,19,1034,41905,13696,300,0.85
apple019,53,56,34,35,213,207,130,119,ellipsoid,2145,838,32282,11855,300,0.85
