filename,width,height,class,xmin,ymin,xmax,ymax
plum001S(2).JPG,816,612,plum,495,185,677,352
plum001S(2).JPG,816,612,coin,173,311,245,378
doughnut007S(9).JPG,816,612,doughnut,415,258,665,355
doughnut007S(9).JPG,816,612,coin,77,298,146,369
qiwi006T(2).JPG,816,612,qiwi,337,302,496,477
qiwi006T(2).JPG,816,612,coin,103,169,167,228
egg006S(7).JPG,816,612,egg,505,258,630,375
egg006S(7).JPG,816,612,coin,116,329,188,399
pear006T(6).JPG,504,378,pear,122,77,277,204
pear006T(6).JPG,504,378,coin,396,146,438,185
apple019T(3).JPG,504,378,apple,141,75,269,202
apple019T(3).JPG,504,378,coin,363,105,398,141
apple009T(3).JPG,816,612,apple,180,250,446,488
apple009T(3).JPG,816,612,coin,613,212,676,276
fired_dough_twist001T(5).JPG,816,612,fired_dough_twist,482,193,592,460
fired_dough_twist001T(5).JPG,816,612,coin,131,137,199,201
mango009S(3).JPG,816,612,mango,499,331,692,458
mango009S(3).JPG,816,612,coin,73,387,155,466
fired_dough_twist007S(2).JPG,504,378,fired_dough_twist,275,173,471,242
fired_dough_twist007S(2).JPG,504,378,coin,18,197,72,248
lemon002T(9).JPG,816,612,lemon,429,219,597,407
lemon002T(9).JPG,816,612,coin,123,139,190,212
mango005T(11).JPG,816,612,mango,435,276,552,462
mango005T(11).JPG,816,612,coin,96,287,160,348
orange009T(10).JPG,816,612,orange,313,124,517,344
orange009T(10).JPG,816,612,coin,41,177,105,243
peach004S(8).JPG,816,612,peach,491,229,634,358
peach004S(8).JPG,816,612,coin,157,318,217,375
orange008T(10).JPG,816,612,orange,386,304,613,517
orange008T(10).JPG,816,612,coin,132,192,196,253
tomato003S(17).JPG,816,612,tomato,452,251,632,383
tomato003S(17).JPG,816,612,coin,141,334,205,395
pear004S(13).JPG,816,612,pear,458,195,647,382
pear004S(13).JPG,816,612,coin,123,338,188,397
mix008T(3).JPG,816,612,banana,222,95,627,272
mix008T(3).JPG,816,612,tomato,354,333,531,511
mix008T(3).JPG,816,612,coin,111,201,170,257
banana010S(3).JPG,816,612,banana,162,287,567,378
banana010S(3).JPG,816,612,coin,643,334,710,400
apple018S(10).JPG,816,612,apple,444,176,646,365
apple018S(10).JPG,816,612,coin,145,317,207,380
orange009S(14).JPG,816,612,orange,179,173,416,340
orange009S(14).JPG,816,612,coin,688,322,767,397
egg007T(4).JPG,816,612,egg,416,259,541,431
egg007T(4).JPG,816,612,coin,171,225,238,288
tomato002T(13).JPG,816,612,tomato,378,230,584,426
tomato002T(13).JPG,816,612,coin,64,218,133,284
